titulos,companias
AUXILIAR DE LIMPIEZA,GUARDERIA ROSA Y PLATA
ENFERMERA PARA GUARDERIA EN GUADALUPE,RAYITOS DE SOL UNIDAD GUADALUPE
OPERADOR DE CAMIÓN DE VOLTEO PARA SOMBRERETE,MONTAJES Y ESTRUCTURAS SA DE CV
GUARDIA DE SEGURIDAD,VEJAR SEGURIDAD AUDIO Y VIDEO
ENFERMERA/ENFERMERO PARA CLINICA EN JEREZ,CLINICA DE EMERGENCIAS JEREZ
REPARTIDOR A BORDO DE MOTOCICLETA,MONCHYS
Asesora de ventas Galerias Zacatecas,Joyerías Bizzarro
Sales Development Representative,Target Market Leads
Spanish Interpreter,Thinkterpreters Global
Analista de Inovación TI,InverCap Afore
Sales Researcher - Asistente de ventas,Predictable Revenue
Agente de ventas- Prospección de clientes,InverCap Afore
Supervisor de Obra,Gerd
OPERADOR MANTENIMIENTO FIESTA AMERICANA MERIDA,Grupo Posadas
Auxiliar Jurídico,Fullgas
Auxiliar administrativo/a,Grupo Autosur
Auxiliar Administrativo,Hog Slat International S de RL de CV
Analista de Reposición (Temporal),PepsiCo
Supervisor de Operaciones,MOVIMIENTOS TERRESTRES DE CARGA
ASESOR DE VENTAS TELEFONICAS,FUNDACION RAFAEL DONDE
Auxiliar Administrativo,"EL NIPLITO DEL SURESTE, S.A. DE C.V."
Hunter AA E-Commerce Mérida,Rappi
Garrotero/Runner Sucursal Skywork,SUSHI CENTRAL
Encargado de almacen,La Europea Casa de Vinos y Licores
Gerente Administrativo,Grupo Gale
Visitador Médico Mérida,Beiersdorf México SA
Auxiliar Administrativo/Facturación,J&M DISTRIBUTIONS
